"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"SSL","Sasol Ltd.","30.94","19325124000","n/a","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/ssl",
"SLB","Schlumberger N.V.","43.57","60386826835.55","n/a","n/a","Energy","Oilfield Services/Equipment","https://www.nasdaq.com/symbol/slb",
"SDRL","Seadrill Limited","8.31","831000000","n/a","2018","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/sdrl",
"SDLP","Seadrill Partners LLC","0.8564","78636018.24","n/a","2012","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/sdlp",
"WTTR","Select Energy Services, Inc.","12.02","1275478019.6","n/a","2017","Energy","Oilfield Services/Equipment","https://www.nasdaq.com/symbol/wttr",
"SEMG","Semgroup Corporation","14.74","1166747854.36","n/a","n/a","Energy","Oilfield Services/Equipment","https://www.nasdaq.com/symbol/semg",
"SHLX","Shell Midstream Partners, L.P.","20.45","4576950921.45","n/a","2014","Energy","Natural Gas Distribution","https://www.nasdaq.com/symbol/shlx",
"SBOW","SilverBow Resorces, Inc.","23","268940196","n/a","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/sbow",
"SM","SM Energy Company","17.49","1963134355.05","n/a","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/sm",
"SOI","Solaris Oilfield Infrastructure, Inc.","16.44","774793822.32","n/a","2017","Energy","Metal Fabrications","https://www.nasdaq.com/symbol/soi",
"SWN","Southwestern Energy Company","4.69","2538787484.17","n/a","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/swn",
"SRLP","Sprague Resources LP","18.48","420123894.96","n/a","2013","Energy","Oil Refining/Marketing","https://www.nasdaq.com/symbol/srlp",
"SRCI","SRC Energy Inc.","5.12","1245784709.12","n/a","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/srci",
