"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"USATP","USA Technologies, Inc.","20.05","8923513.15","n/a","n/a","Miscellaneous","Office Equipment/Supplies/Services","https://www.nasdaq.com/symbol/usatp",
"UXIN","Uxin Limited","3.79","443368772.55","116983845","2018","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/uxin",
"VVI","Viad Corp","56.29","1137142266.13","n/a","n/a","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/vvi",
"VHC","VirnetX Holding Corp","6.33","430971726.33","n/a","n/a","Miscellaneous","Multi-Sector Companies","https://www.nasdaq.com/symbol/vhc",
"V","Visa Inc.","156.19","353713428116.4","n/a","n/a","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/v",
"WAGE","WageWorks, Inc.","37.76","1504843880.32","n/a","2012","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/wage",
"WTRH","Waitr Holdings Inc.","12.29","858838251.98","n/a","2016","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/wtrh",
"WU","Western Union Company (The)","18.47","8050903426.93","n/a","n/a","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/wu",
"WEX","WEX Inc.","191.99","8281562566.15","n/a","n/a","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/wex",
"WNS","WNS (Holdings) Limited","53.27","2661868339.9","n/a","2006","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/wns",
"WP","Worldpay, Inc.","113.5","34142116600","n/a","2012","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/wp",
"XELB","Xcel Brands, Inc","1.7","32405933.8","n/a","n/a","Miscellaneous","Multi-Sector Companies","https://www.nasdaq.com/symbol/xelb",
"Z","Zillow Group, Inc.","34.74","7107720728.22","n/a","n/a","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/z",
"ZG","Zillow Group, Inc.","34.2","6997238022.6","n/a","2011","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/zg",
