"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"GRA","W.R. Grace & Co.","78.04","5217578263.72","n/a","n/a","Basic Industries","Major Chemicals","https://www.nasdaq.com/symbol/gra",
"WDFC","WD-40 Company","169.44","2342396000.16","n/a","1973","Basic Industries","Major Chemicals","https://www.nasdaq.com/symbol/wdfc",
"WST","West Pharmaceutical Services, Inc.","110.2","8125870185.8","n/a","n/a","Basic Industries","Specialty Chemicals","https://www.nasdaq.com/symbol/wst",
"WRN","Western Copper and Gold Corporation","0.56","56467040.56","n/a","2011","Basic Industries","Precious Metals","https://www.nasdaq.com/symbol/wrn",
"WLK","Westlake Chemical Corporation","67.86","8718269119.56","n/a","2004","Basic Industries","Major Chemicals","https://www.nasdaq.com/symbol/wlk",
"WLKP","Westlake Chemical Partners LP","22.71","732337795.41","n/a","2014","Basic Industries","Major Chemicals","https://www.nasdaq.com/symbol/wlkp",
"WWR","Westwater Resources, Inc.","0.135","10043962.47","n/a","n/a","Basic Industries","Precious Metals","https://www.nasdaq.com/symbol/wwr",
"WPM","Wheaton Precious Metals Corp.","23.82","10584092119.02","n/a","n/a","Basic Industries","Precious Metals","https://www.nasdaq.com/symbol/wpm",
"XIN","Xinyuan Real Estate Co Ltd","4.87","313741514.83","n/a","2007","Basic Industries","Homebuilding","https://www.nasdaq.com/symbol/xin",
"AUY","Yamana Gold Inc.","2.61","2478774610.53","n/a","n/a","Basic Industries","Precious Metals","https://www.nasdaq.com/symbol/auy",
"YTEN","Yield10 Bioscience, Inc.","1.14","14213769.66","n/a","n/a","Basic Industries","Containers/Packaging","https://www.nasdaq.com/symbol/yten",
